idx,anchor_x,anchor_y,prev_x,prev_y,next_x,next_y,progress,path_tangent_heading_deg,path_tangent_heading_rad,holonomic_rotation_deg,holonomic_rotation_rad
0,0.56,3.9936000000000003,,,1.6089057751816815,3.9936000000000003,0.0,0.0,0.0,0.0,0.0
1,3.7706316835920077,3.333283946837563,3.146784629576457,3.3425194999249523,4.3944787376075585,3.3240483937501732,0.2312168210636264,-0.8481559022292932,-0.014803113064124278,0.0,0.0
2,5.183198102671917,3.9251572763613938,4.81600739029124,3.7248268654714343,5.550388815052594,4.125487687251353,0.33925201768016616,28.615819056909842,0.49944026069801534,0.0,0.0
3,6.169605823332781,4.6421064712766285,5.8708144893442356,4.458827443714323,6.468397157321327,4.8253854988389335,0.42527030632721374,31.525011742784397,0.5502152516414635,0.0,0.0
4,7.102405193805842,5.102401624978247,6.775473119410616,5.025735885818699,7.429337268201067,5.179067364137795,0.4986445786661734,13.19742742329459,0.23033856132948197,0.0,0.0
5,8.140174451759023,5.104205825530506,7.795062022762793,5.163454801562,8.485286880755252,5.044956849499012,0.5718485066830885,-9.741584462895968,-0.17002272323865802,0.0,0.0
6,9.296974736198372,4.725637453966364,8.909846838752694,4.8863351886053215,9.68410263364405,4.564939719327406,0.6577071237357983,-22.543456878021402,-0.39345754730283516,0.0,0.0
7,10.687194481653394,4.046931597595255,10.108745827207741,4.292778978708743,11.265643136099047,3.801084216481767,0.766835142006446,-23.02605436483561,-0.401880462409593,0.0,0.0
8,13.76,2.8287999999999998,12.702257033922479,2.8287999999999998,,,1.0,0.0,0.0,0.0,0.0
